config,delta_1,delta_2,delta_3,mask,n,mean_distance_km,median_distance_km,acc_1km,acc_25km,acc_200km,acc_750km,acc_2500km,mean_error_delta_vs_baseline_km,mean_displacement_km,median_displacement_km,worsened,improved,unchanged
baseline,,,,,2050,1829.1435444650485,284.206995494471,0.1326829268292683,0.3126829268292683,0.4624390243902439,0.644390243902439,0.8121951219512196,0.0,0.0,0.0,0.0,0.0,1.0
amplify_all_layers,2.0,2.0,2.0,real,2050,2656.3671736421693,672.8935822335472,0.09170731707317073,0.23414634146341465,0.3526829268292683,0.5170731707317073,0.7195121951219512,827.2236291771208,2042.2144260528096,160.94523839637523,0.46731707317073173,0.2551219512195122,0.2775609756097561
amplify_last_layer,0.0,0.0,1.0,real,2050,1895.7128276770927,284.6178546581119,0.1273170731707317,0.3097560975609756,0.4653658536585366,0.6448780487804878,0.8078048780487805,66.56928321204418,320.4701411962253,0.0,0.10390243902439024,0.08926829268292683,0.806829268292683
top_proposal_last_layer,0.0,0.0,1.0,real,2050,1906.1599617936988,284.206995494471,0.12829268292682927,0.31073170731707317,0.4609756097560976,0.6453658536585366,0.8058536585365854,77.01641732865028,256.54705084419624,0.0,0.09414634146341463,0.07365853658536585,0.8321951219512195
oracle_proposal,0.0,0.0,1.0,real,2050,1791.0918790061098,254.63217025420073,0.13170731707317074,0.31902439024390244,0.4775609756097561,0.6560975609756098,0.8170731707317073,-38.051665458938714,307.8510092131139,0.0,0.055609756097560976,0.12634146341463415,0.8180487804878048
oracle_with_baseline,0.0,0.0,1.0,real,2050,1695.5166785970957,240.12971793187307,0.13463414634146342,0.3224390243902439,0.4819512195121951,0.6624390243902439,0.8248780487804878,-133.6268658679528,0.0,0.0,0.0,0.12634146341463415,0.8736585365853659
