proposal_bin,images,mean_improvement_km,median_improvement_km,improved_rate,worsened_rate,unchanged_rate
0,946,0.0,0.0,0.0,0.0,1.0
1,889,-843.5051962892338,0.0,0.2530933633295838,0.4454443194600675,0.3014623172103487
2,393,-616.2805854222634,0.0,0.25699745547073793,0.46055979643765904,0.2824427480916031
3,259,-982.8531081992732,0.0,0.2702702702702703,0.4942084942084942,0.23552123552123552
4–5,270,-552.7168802310555,0.0,0.27037037037037037,0.46296296296296297,0.26666666666666666
6+,240,-1271.342842698721,-0.2922031562418552,0.23333333333333334,0.5291666666666667,0.2375
